Fast_Window,Slow_Window,Macro_Window,Total_Return_Pct,CAGR,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_Pct
30,200,180,82.27,18.641750712867577,1.37,2.450291312387396,-10.35%
30,200,195,78.09,17.860572209128357,1.29,2.357574031940233,-10.39%
30,200,210,66.39,15.793622287719655,1.07,2.0826276949663773,-10.42%
30,200,225,59.41,14.641476088057125,0.96,1.9284876981073302,-10.38%
30,200,240,57.51,14.50967665289713,0.95,1.8972779594107305,-10.38%
30,210,150,81.79,18.78351073233342,1.37,2.3835824620208523,-10.43%
30,210,165,78.56,18.171797896981047,1.31,2.324447623795302,-10.32%
30,210,180,73.16,17.13128349918116,1.21,2.262876325828216,-10.34%
30,210,195,69.46,16.40492468879802,1.14,2.174790493102447,-10.39%
30,210,210,64.59,15.431460927895667,1.04,2.043734687286936,-10.42%
30,210,225,57.8,14.3009810054733,0.93,1.8912984841907385,-10.37%
30,210,240,56.04,14.189917742942004,0.92,1.863438002899916,-10.37%
30,220,150,79.63,18.606383516915525,1.35,2.3606592103138566,-11.07%
30,220,165,76.31,17.9635230116348,1.29,2.298227504366324,-10.90%
30,220,180,71.13,16.943149491393015,1.2,2.241561870613194,-10.82%
30,220,195,67.55,16.225087233424752,1.12,2.15323471950493,-10.79%
30,220,210,62.85,15.265680553500616,1.03,2.024321158015381,-10.72%
30,220,225,57.98,14.339170377429134,0.94,1.90428194125072,-10.47%
30,220,240,55.99,14.179004483226642,0.93,1.8703986832047963,-10.46%
30,230,150,77.52,18.430171702444497,1.33,2.3232478382975685,-11.14%
30,230,165,74.62,17.85662935143566,1.28,2.2708683711613045,-10.96%
30,230,180,69.61,16.849752544415185,1.19,2.213348680390886,-10.89%
30,230,195,66.47,16.207957410761352,1.12,2.135347569122437,-10.86%
30,230,210,62.41,15.365337692790227,1.04,2.024354445946479,-10.78%
30,230,225,59.34,14.71826666754481,0.97,1.9424469936892574,-10.53%
30,230,240,56.77,14.348972585574348,0.94,1.878749342724355,-10.52%
30,240,150,78.98,18.957707409031066,1.39,2.3825580754738738,-10.88%
30,240,165,75.92,18.347501603089,1.34,2.3277018824641496,-10.71%
30,240,180,70.88,17.326012085281107,1.24,2.271788030068001,-10.63%
30,240,195,68.41,16.817666387668883,1.19,2.2099100436331764,-10.60%
30,240,210,64.63,16.02948322900275,1.11,2.1084136843288706,-10.55%
30,240,225,61.73,15.416138990503757,1.05,2.030790014669261,-10.37%
30,240,240,59.37,14.911282087504985,1.0,1.9619468203491492,-10.37%
35,100,150,76.81,16.602462313706322,1.13,1.9818738855837361,-11.22%
35,100,165,66.89,15.060581471442692,0.97,1.7969975418866997,-11.46%
35,100,180,61.6,14.29865741728249,0.9,1.7143072395973207,-11.69%
35,100,195,57.04,13.631709885794518,0.83,1.6330960597051825,-11.83%
35,100,210,46.66,11.660036127488848,0.64,1.3949207094940212,-11.84%
35,100,225,41.23,10.645074537448608,0.54,1.2602489143135382,-11.86%
35,100,240,40.42,10.653965513200724,0.54,1.243733497774919,-11.86%
35,110,150,79.48,17.07443827661781,1.18,2.07047355665948,-11.03%
35,110,165,69.84,15.614139559441487,1.03,1.8990078069817442,-11.24%
35,110,180,64.6,14.8855860699441,0.96,1.819284367567995,-11.34%
35,110,195,59.34,14.100480965053364,0.88,1.7291505099920996,-11.45%
35,110,210,48.19,11.994280146868054,0.67,1.4664956878927753,-11.48%
35,110,225,42.5,10.935701084512829,0.57,1.322588930504371,-11.43%
35,110,240,41.16,10.827550493865301,0.56,1.290465823875303,-11.41%
35,120,150,84.5,17.948113868907576,1.27,2.2173129900880215,-10.62%
35,120,165,75.83,16.717012563202548,1.15,2.0878847130738163,-10.77%
35,120,180,70.21,15.96274712166663,1.07,2.0066402850861915,-10.81%
35,120,195,64.84,15.202107265180963,0.99,1.916869785857002,-10.87%
35,120,210,53.17,13.065479573381179,0.78,1.645133288054386,-10.85%
35,120,225,46.83,11.913020005057806,0.66,1.482768265032925,-10.80%
35,120,240,45.03,11.725097550727437,0.65,1.4395382629441527,-10.81%
35,130,150,90.84,19.027046859691943,1.37,2.318023284223518,-10.69%
35,130,165,82.95,17.993007216927403,1.26,2.215669546687278,-10.76%
35,130,180,77.3,17.288033064966402,1.19,2.1424803854423424,-10.82%
35,130,195,70.9,16.385800975906093,1.1,2.0331217497680063,-10.87%
